name,variant,nodes,edges,controversial,single_hashtag,density,clustering_coefficient,modularity,assortativity,mean_degree,embedding_dimension
hallitus,p1,2036,2541,1,1,0.0006132851908883343,0.007628622797754449,0.7673601963609477,0.8175995287078163,2.4960707269155207,92
hallitus,p2,1283,1429,1,1,0.0008687954688881242,0.005934227999792414,0.8460589185035952,0.9069780138727683,2.2275915822291505,115
hallitus,p3,3016,4579,1,1,0.0005035608869885761,0.024143160636410192,0.7199175132293276,0.7703003918025259,3.036472148541114,159
sananvapaus,p2,1084,1422,1,1,0.0012112725005366397,0.012701341582650598,0.7638189115783518,0.8354036695957517,2.623616236162362,69
sananvapaus,p3,1235,1478,1,1,0.000969822636631474,0.004408447120925047,0.7685567850348183,0.8632142893868191,2.3935222672064778,36
monimuotoisuus,p2,1203,1777,0,1,0.0012289022313876983,0.03091928153501737,0.6534636126152688,0.7131810515255831,2.954280964256027,67
monimuotoisuus,p3,890,1185,0,1,0.00149770604517132,0.01919719496000266,0.7116046217664548,0.758830466733443,2.662921348314607,65
vasemmisto,p1,1070,2186,1,1,0.0019111231564131034,0.05066418620788245,0.5386111318052416,0.59243313043148,4.085981308411215,78
vasemmisto,p2,692,1121,1,1,0.002344344712781175,0.040915365281261024,0.6171961602398776,0.6851101343377455,3.239884393063584,49
maahanmuutto,p1,1463,2632,1,1,0.0012305356102605724,0.04406942925404881,0.583940004249776,0.6708760328824122,3.598086124401914,87
maahanmuutto,p2,925,1409,1,1,0.0016485316485316485,0.03708973616396512,0.6213044903970772,0.6752590667192947,3.0464864864864865,60
maahanmuutto,p3,1008,1536,1,1,0.0015132170047760913,0.026201879815212374,0.6361732482910156,0.6880637801307345,3.0476190476190474,71
turpo,p1,1988,3794,0,1,0.0009604683966911686,0.04472579230358035,0.5767816120061946,0.6296732640017038,3.816901408450704,123
turpo,p2,1481,2375,0,1,0.001083544719601438,0.03514306503299451,0.6272026592797784,0.6872125740448111,3.2072923700202565,56
turpo,p3,1861,3005,0,1,0.0008681307887423226,0.03310610142879547,0.6144527839070213,0.6553597470654219,3.2294465341214402,53
